2022.10.27 11:48:33 INFO  tracing is disabled for protocol LSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/.metals/lsp.trace.json or /Users/tomas.merendon/Library/Caches/org.scalameta.metals/lsp.trace.json
2022.10.27 11:48:36 INFO  logging to file /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/.metals/metals.log
2022.10.27 11:48:36 INFO  Started: Metals version 0.11.9 in workspace '/Users/tomas.merendon/Code/TomyProjects/programingInScalaBook' for client Visual Studio Code 1.72.2.
2022.10.27 11:48:40 INFO  time: initialize in 4.61s
2022.10.27 11:48:43 WARN  Build server is not auto-connectable.
2022.10.27 11:52:08 INFO  running '/Users/tomas.merendon/Library/Java/JavaVirtualMachines/azul-13.0.12/Contents/Home/bin/java -Djline.terminal=jline.UnsupportedTerminal -Dsbt.log.noformat=true -Dfile.encoding=UTF-8 -jar /var/folders/yn/_258hmp54m55rsz5jqn5zbtw0000gn/T/metals8773599347129127932/sbt-launch.jar -Dbloop.export-jar-classifiers=sources bloopInstall'
2022.10.27 11:52:09 WARN  no build target for: /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/project/project/metals.sbt
2022.10.27 11:52:09 WARN  no build target for: /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/project/metals.sbt
2022.10.27 11:52:08 INFO  skipping build import with status 'Started'
2022.10.27 11:52:15 INFO  [info] Loading global plugins from /Users/tomas.merendon/.sbt/1.0/plugins
2022.10.27 11:52:19 INFO  no build target found for /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/project/project/metals.sbt. Using presentation compiler with project's scala-library version: 3.2.0
2022.10.27 11:52:22 INFO  [info] Loading settings for project programinginscalabook-build-build from metals.sbt ...
2022.10.27 11:52:22 INFO  [info] Loading project definition from /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/project/project
2022.10.27 11:52:25 INFO  [info] Loading settings for project programinginscalabook-build from metals.sbt ...
2022.10.27 11:52:25 INFO  [info] Loading project definition from /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/project
2022.10.27 11:52:28 INFO  [success] Generated .bloop/programinginscalabook-build.json
2022.10.27 11:52:28 INFO  [success] Total time: 3 s, completed Oct 27, 2022, 11:52:28 AM
2022.10.27 11:52:30 INFO  [info] Loading settings for project programinginscalabook from build.sbt ...
2022.10.27 11:52:30 INFO  [info] Set current project to ProgramingInScala (in build file:/Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/)
2022.10.27 11:52:32 INFO  [success] Generated .bloop/programinginscalabook.json
2022.10.27 11:52:32 INFO  [success] Generated .bloop/programinginscalabook-test.json
2022.10.27 11:52:32 INFO  [success] Total time: 0 s, completed Oct 27, 2022, 11:52:32 AM
2022.10.27 11:52:32 INFO  time: ran 'sbt bloopInstall' in 23s
